SPEC,STRAT,YEAR,INT,sampleID,right.total.length.mm,left.total.length.mm
4736,351.5,14773.693,15000,NA,NA,NA
4737,351.5,14773.693,15000,NA,NA,NA
4738,353.5,14708.927,14750,NA,NA,NA
4739,353.2,14718.642,14750,NA,NA,NA
4740,356.5,14611.778,14750,NA,NA,NA
4741,353.5,14708.927,14750,NA,NA,NA
4742,399.2,13227.409,13250,NA,NA,NA
4743,495,10194.75,10250,NA,NA,NA
4744,430.5,12231.635,12250,NA,NA,NA
4745,115.4,21915.742,22000,NA,NA,NA
4746,248,17893.785,18000,NA,NA,NA
4747,386.8,13628.957,13750,NA,NA,NA
4748,354.9,14663.591,14750,NA,NA,NA
4749,395.9,13334.273,13500,NA,NA,NA
